trip_id,mode,distance_km,num_transfers,monsoon_flag,planned_hours,actual_hours,delay_hours
T00001,Rail-only,1362,1,N,29.24,32.27,3.03
T00002,Road-Rail-Road,514,2,Y,15.17,26.94,11.77
T00003,Road-Rail-Road,1194,2,N,29.96,31.31,1.36
T00004,Road-only,1316,0,N,31.33,29.56,-1.77
T00005,Road-only,862,0,N,20.52,19.57,-0.96
T00006,Road-Rail-Road,284,1,N,8.17,10.27,2.09
T00007,Road-only,468,0,N,11.14,10.03,-1.11
T00008,Road-Rail-Road,759,1,Y,18.5,23.49,4.99
T00009,Road-Rail-Road,448,1,N,11.74,11.29,-0.45
T00010,Road-only,200,0,N,4.76,4.29,-0.48
T00011,Road-only,304,0,N,7.24,8.61,1.37
T00012,Road-only,1354,0,N,32.24,31.21,-1.02
T00013,Road-only,584,0,N,13.9,13.8,-0.11
T00014,Road-only,839,0,N,19.98,20.92,0.94
T00015,Rail-only,659,1,N,15.18,19.32,4.14
T00016,Rail-only,1140,1,N,24.8,26.58,1.78
T00017,Road-Rail-Road,213,2,N,8.63,14.01,5.38
T00018,Road-Rail-Road,452,2,N,13.83,17.8,3.97
T00019,Rail-only,851,1,N,19.02,23.04,4.02
T00020,Road-Rail-Road,1138,1,N,26.74,28.46,1.72
T00021,Road-only,689,0,Y,16.4,21.26,4.86
T00022,Road-only,1007,0,Y,23.98,31.08,7.1
T00023,Rail-only,1137,1,N,24.74,27.27,2.53
T00024,Road-only,929,0,N,22.12,22.84,0.72
T00025,Road-only,1161,0,N,27.64,30.39,2.74
T00026,Rail-only,1334,1,N,28.68,32.54,3.86
T00027,Road-only,368,0,Y,8.76,14.15,5.39
T00028,Road-Rail-Road,652,1,Y,16.17,20.78,4.6
T00029,Rail-only,378,1,Y,9.56,14.18,4.62
T00030,Rail-only,627,1,N,14.54,17.69,3.15
T00031,Road-only,82,0,N,1.95,2.18,0.23
T00032,Road-only,993,0,N,23.64,27.7,4.06
T00033,Road-only,391,0,N,9.31,9.46,0.15
T00034,Road-only,1182,0,N,28.14,25.33,-2.81
T00035,Rail-only,1029,1,Y,22.58,29.19,6.61
T00036,Road-only,522,0,Y,12.43,15.37,2.94
T00037,Road-only,679,0,N,16.17,14.55,-1.62
T00038,Road-only,963,0,N,22.93,21.63,-1.3
T00039,Road-Rail-Road,630,1,Y,15.7,19.54,3.85
T00040,Road-only,355,0,N,8.45,8.97,0.51
T00041,Road-only,137,0,Y,3.26,6.62,3.36
T00042,Road-Rail-Road,808,1,N,19.57,18.96,-0.6
T00043,Rail-only,782,1,N,17.64,20.57,2.93
T00044,Road-Rail-Road,1095,1,Y,25.8,30.85,5.05
T00045,Rail-only,251,1,N,7.02,8.03,1.01
T00046,Road-Rail-Road,166,2,N,7.61,10.22,2.61
T00047,Road-only,1051,0,N,25.02,23.84,-1.18
T00048,Rail-only,1040,1,Y,22.8,31.94,9.14
T00049,Rail-only,1134,1,N,24.68,22.87,-1.81
T00050,Road-Rail-Road,100,2,Y,6.17,14.49,8.32
T00051,Road-only,945,0,N,22.5,23.58,1.08
T00052,Rail-only,1345,1,Y,28.9,35.47,6.57
T00053,Road-only,1087,0,Y,25.88,28.65,2.77
T00054,Road-only,698,0,Y,16.62,22.62,6.0
T00055,Road-only,707,0,N,16.83,18.8,1.97
T00056,Road-only,619,0,Y,14.74,20.02,5.29
T00057,Road-Rail-Road,152,2,N,7.3,10.71,3.4
T00058,Road-only,1030,0,N,24.52,22.07,-2.45
T00059,Road-Rail-Road,790,1,N,19.17,19.9,0.73
T00060,Rail-only,770,1,Y,17.4,25.2,7.8
T00061,Rail-only,1310,1,N,28.2,33.11,4.91
T00062,Rail-only,1044,1,N,22.88,24.69,1.81
T00063,Rail-only,1346,1,N,28.92,31.48,2.56
T00064,Road-only,191,0,N,4.55,4.09,-0.45
T00065,Road-only,1336,0,N,31.81,31.53,-0.28
T00066,Road-only,822,0,Y,19.57,24.29,4.71
T00067,Road-only,611,0,Y,14.55,18.39,3.84
T00068,Road-only,816,0,N,19.43,17.49,-1.94
T00069,Road-Rail-Road,128,2,Y,6.78,19.36,12.57
T00070,Road-only,1310,0,Y,31.19,36.94,5.75
T00071,Rail-only,911,1,N,20.22,20.53,0.31
T00072,Road-only,132,0,Y,3.14,5.26,2.12
T00073,Road-Rail-Road,1286,2,Y,31.96,39.24,7.28
T00074,Rail-only,677,1,N,15.54,16.04,0.5
T00075,Road-only,236,0,N,5.62,5.06,-0.56
T00076,Road-Rail-Road,913,2,Y,23.85,31.51,7.67
T00077,Road-Rail-Road,170,1,N,5.7,7.46,1.77
T00078,Road-Rail-Road,806,1,Y,19.52,24.46,4.94
T00079,Rail-only,1084,1,Y,23.68,31.59,7.91
T00080,Road-only,177,0,N,4.21,4.42,0.21
T00081,Road-only,1124,0,N,26.76,25.63,-1.13
T00082,Road-Rail-Road,863,1,N,20.76,21.78,1.02
T00083,Rail-only,507,1,Y,12.14,18.23,6.09
T00084,Road-only,373,0,N,8.88,7.99,-0.89
T00085,Road-Rail-Road,95,2,Y,6.07,15.21,9.14
T00086,Rail-only,338,1,Y,8.76,15.64,6.88
T00087,Rail-only,455,1,Y,11.1,18.0,6.9
T00088,Road-only,1239,0,Y,29.5,36.32,6.82
T00089,Road-only,758,0,N,18.05,19.34,1.29
T00090,Road-only,341,0,Y,8.12,16.37,8.25
