shipment_id,product,origin,destination,weight_kg,max_price_per_kg_INR
F0001,Mango,Rayagada,Jajpur,905,5.36
F0002,Mango,Kendrapara,Berhampur,233,5.89
F0003,Cauliflower,Rayagada,Kendrapara,1582,2.08
F0004,Rice,Jharsuguda,Angul,773,5.67
F0005,Brinjal,Jajpur,Bhadrak,1654,3.5
F0006,Sapota,Sambalpur,Cuttack,1131,1.79
F0007,Rice,Balangir,Puri,1281,4.91
F0008,Carrot,Bhadrak,Cuttack,1942,5.52
F0009,Cabbage,Rayagada,Koraput,429,3.6
F0010,Tomato,Bhubaneswar,Dhenkanal,350,4.57
F0011,Fabric,Koraput,Balasore,1936,2.97
F0012,Wheat,Bhadrak,Cuttack,965,2.35
F0013,Tomato,Rourkela,Koraput,977,2.52
F0014,Potato,Kendrapara,Jeypore,902,5.25
F0015,Leafy Greens,Koraput,Cuttack,659,5.25
F0016,Sapota,Balangir,Rayagada,805,2.8
F0017,Grapes,Kendrapara,Jajpur,322,2.4
F0018,Brinjal,Bhubaneswar,Balangir,1584,4.49
F0019,Tomato,Koraput,Puri,1572,3.57
F0020,Onion,Dhenkanal,Bhubaneswar,322,2.02
F0021,Sapota,Kendrapara,Jajpur,968,4.04
F0022,Mango,Rayagada,Angul,1287,3.99
F0023,Mango,Dhenkanal,Balangir,642,1.64
F0024,Pomegranate,Baripada,Paradip,468,3.34
F0025,Dairy Products,Bhawanipatna,Bhubaneswar,506,1.76
F0026,Rice,Puri,Jeypore,622,4.48
F0027,Apple,Dhenkanal,Jharsuguda,1578,4.49
F0028,Sapota,Baripada,Bhadrak,1637,2.25
F0029,Pomegranate,Bhubaneswar,Berhampur,225,4.75
F0030,Carrot,Jharsuguda,Koraput,364,3.75
F0031,Fabric,Berhampur,Angul,1407,3.51
F0032,Papaya,Bhadrak,Sambalpur,637,4.34
F0033,Leafy Greens,Bhadrak,Paradip,220,2.03
F0034,Pomegranate,Paradip,Balasore,1821,4.65
F0035,Tomato,Puri,Rayagada,1939,5.0
F0036,Grapes,Koraput,Rayagada,926,2.73
F0037,Mango,Cuttack,Jharsuguda,1810,3.55
F0038,Carrot,Sambalpur,Koraput,646,4.11
F0039,Potato,Berhampur,Jharsuguda,1720,4.91
F0040,Tomato,Koraput,Jajpur,892,4.32
F0041,Papaya,Dhenkanal,Cuttack,1317,1.88
F0042,Cauliflower,Baripada,Rayagada,131,3.72
F0043,Guava,Balasore,Kendrapara,331,1.97
F0044,Papaya,Dhenkanal,Balangir,382,5.66
F0045,Dairy Products,Dhenkanal,Baripada,726,4.16
F0046,Orange,Bhubaneswar,Berhampur,1919,3.67
F0047,Tomato,Rayagada,Cuttack,211,3.69
F0048,Cabbage,Jharsuguda,Baripada,1878,4.07
F0049,Onion,Jharsuguda,Balangir,570,2.99
F0050,Onion,Angul,Bhawanipatna,905,1.6
F0051,Watermelon,Balangir,Bhubaneswar,1797,2.13
F0052,Orange,Dhenkanal,Puri,261,4.53
F0053,Apple,Puri,Sambalpur,1335,4.77
F0054,Fabric,Rayagada,Balasore,260,5.62
F0055,Dairy Products,Sambalpur,Puri,122,4.0
F0056,Potato,Bhadrak,Puri,1668,5.14
F0057,Dairy Products,Balasore,Berhampur,1908,2.81
F0058,Leafy Greens,Angul,Jeypore,549,5.71
F0059,Papaya,Berhampur,Dhenkanal,137,3.46
F0060,Dairy Products,Paradip,Rourkela,1788,4.87
F0061,Rice,Bhawanipatna,Sambalpur,1792,3.83
F0062,Tomato,Balasore,Bhubaneswar,1555,4.48
F0063,Sapota,Bhadrak,Bhawanipatna,234,4.86
F0064,Watermelon,Puri,Bhubaneswar,1876,2.58
F0065,Banana,Rourkela,Cuttack,1670,2.19
F0066,Cauliflower,Berhampur,Bhadrak,1218,5.44
F0067,Banana,Berhampur,Balasore,655,5.0
F0068,Pomegranate,Paradip,Jharsuguda,1026,2.15
F0069,Fabric,Bhubaneswar,Sambalpur,497,2.09
F0070,Banana,Kendrapara,Paradip,287,3.78
F0071,Fabric,Kendrapara,Rayagada,1183,2.4
F0072,Wheat,Balangir,Bhubaneswar,1445,4.83
F0073,Rice,Rourkela,Jharsuguda,291,5.67
F0074,Mango,Bhadrak,Paradip,636,3.7
F0075,Onion,Kendrapara,Puri,1913,2.79
F0076,Dairy Products,Jeypore,Jharsuguda,98,4.0
F0077,Papaya,Jajpur,Balangir,256,2.13
F0078,Cauliflower,Baripada,Bhubaneswar,1934,4.18
F0079,Papaya,Jeypore,Koraput,1618,3.6
F0080,Leafy Greens,Rayagada,Bhawanipatna,84,1.99
F0081,Orange,Balangir,Sambalpur,1603,2.55
F0082,Pomegranate,Angul,Rayagada,1231,5.4
F0083,Cauliflower,Jajpur,Puri,854,3.18
F0084,Fabric,Baripada,Rourkela,1321,5.4
